"draw_no","draw_date","num1","num2","num3","num4","num5","num6","bonus","first_winner_count","first_prize_amount","first_total_amount","second_winner_count","second_prize_amount","third_winner_count","third_prize_amount","total_sales_amount"
"1","2002-12-07","10","23","29","33","37","40","16","0","0","863604600","1","143934100","28","5140500","3681782000"
"2","2002-12-14","9","13","21","25","32","42","2","1","2002006800","0","2","94866800","103","1842000","4904274000"
"3","2002-12-21","11","16","19","21","27","31","30","1","2000000000","0","0","0","139","1174100","4729342000"
"4","2002-12-28","14","27","30","31","40","42","2","0","0","1267147200","1","211191200","29","7282400","5271464000"
"5","2003-01-04","16","24","29","40","41","42","3","0","0","3041094900","0","0","42","6033800","6277102000"
"6","2003-01-11","14","15","26","27","40","42","34","1","6574451700","0","3","196297600","138","4267300","15305356000"
"7","2003-01-18","2","9","16","25","26","40","42","0","0","2600913000","9","48165000","270","1605500","12794890000"
"8","2003-01-25","8","19","25","34","37","39","9","0","0","7336896000","6","131555000","348","2268100","20751450000"
"9","2003-02-01","2","4","16","17","36","39","14","0","0","25803852000","4","769456500","352","8743800","73624020000"
"10","2003-02-08","9","25","30","33","41","44","6","13","6430437900","0","236","40813400","11247","856400","260856392000"
"11","2003-02-15","1","7","36","37","41","42","14","5","4780152300","0","11","362132700","428","9307100","91925306000"
"12","2003-02-22","2","11","21","25","39","45","44","12","1348845700","0","27","99914400","1903","1417500","76255508000"
"13","2003-03-01","22","23","25","37","38","42","26","0","0","15599134800","6","433309300","450","5777400","66532136000"
"14","2003-03-08","2","6","12","31","33","40","15","4","9375048300","0","28","130363400","1421","2568700","99838648000"
"15","2003-03-15","3","4","16","30","31","37","13","1","17014245000","0","16","177231700","509","5571100","73264910000"
"16","2003-03-22","6","7","24","37","38","40","33","4","4377146100","0","12","243174700","862","3385200","75777348000"
"17","2003-03-29","3","4","9","17","32","37","1","3","5349491200","0","9","297193900","1142","2342100","72718152000"
"18","2003-04-05","3","12","13","19","32","35","29","0","0","15751560000","15","175017300","664","3953700","66371660000"
"19","2003-04-12","6","30","38","39","40","43","26","1","40722959400","0","14","297278500","697","5971100","105957818000"
"20","2003-04-19","10","14","18","20","23","30","41","1","19352212800","0","14","230383400","888","3632100","81056776000"
"21","2003-04-26","6","12","17","18","31","32","21","23","797475400","0","26","117576500","2008","1522400","84247142000"
"22","2003-05-03","4","5","6","8","17","39","25","4","4552194900","0","32","94837300","827","3669600","79455152000"
"23","2003-05-10","5","13","17","18","33","42","44","4","4317947700","0","23","125157900","1372","2098100","77374256000"
"24","2003-05-17","7","8","27","29","36","43","6","0","0","19010560200","18","176023700","925","3425300","78486634000"
"25","2003-05-24","2","4","21","26","43","44","16","2","24227745300","0","28","175267400","1111","4417100","120073768000"
"26","2003-05-31","4","5","7","18","20","25","31","5","3495069900","0","39","74680900","1340","2173500","80193026000"
"27","2003-06-07","1","20","26","28","37","43","27","2","9543982500","0","16","198832900","579","5494500","76145050000"
"28","2003-06-14","9","18","23","25","35","37","1","10","1700361100","0","22","128815200","1164","2434600","75448366000"
